"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5781737687622","24.2432588226125","50.7192978736512","44.3178392396772","50.8630045999057","59.4847758807514","42.3292514484608","42.0936844468805","44.5892994893339","37.0225695736427","40.871971837749","36.6526417130882","","",
"Angola","AGO","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6524460019801","21.8300194095745","29.0157756429379","21.1229588884631","25.9032756131845","16.145436704097","20.8255646807053","19.0326436506387","20.8230172371605","22.3855332282409","25.5005040191697","25.6491744238504","26.6713218932877","23.4498303836786","28.2092383291269","27.967359355335","20.8188318427411","17.5116635351029","16.6711371453949","","",
"Albania","ALB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8909560055278","21.0781948738771","25.5827017063406","30.0332705025337","","","","24.831867131436","22.9013925627137","22.7939358918943","","","","","","","23.011105560955","23.0075910689151","24.1607792110922","24.3826719044142","24.446183930057","23.956727318777","23.8578046961991","23.3498809150361","",
"Andorra","AND","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5692161307925","","24.2993729297477","25.8775642006399","","","","",
"United Arab Emirates","ARE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05387363605581","6.54878847413229","6.20006062052198","","","","","","","","","","","","4.12550016580332","4.24840745549923","4.01105941619494","3.8952818504979","4.28850810607108","4.4659581193146","4.1515297271495","4.04000838393531","",
"Argentina","ARG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3254404487432","11.2055409345172","11.8011099217048","14.2818561185834","14.9007924176507","15.5112306915719","15.1655476442657","15.0142218610321","15.0988005449104","16.7436856974566","16.8328883767368","16.9923529034125","19.6771706443151","19.8373029880995","16.8763416365527","","","","","","","","","","24.5697808575806","25.0083932347048","26.1799164832469","24.3177753979683","","",
"Armenia","ARM","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9559988456693","18.1464405215631","17.1482192993136","17.0424253804612","21.1396851697465","23.8619179943921","22.9973623470093","22.5680163171222","21.3736421560682","22.6371817977093","23.9875580530759","25.0779813488419","25.7115181584805","22.6297249923647","22.12084600425","",
"American Samoa","ASM","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","18.0851542127507","18.4895571592257","18.1709583222724","21.3032968886141","23.6802268303818","23.65260111997","24.5341644506715","23.7344734245744","23.3977816296318","23.5944052266961","23.3255890760418","25.6094144017932","26.5106993223294","26.4831554397971","26.1900553335383","25.7518165399639","24.2483559233073","22.2291452965872","21.8615592229885","23.2132947948986","24.4851339835243","25.0161257583617","25.138430554989","25.4515566141696","24.6270368215254","23.8644242388225","21.3685837540406","24.5677999035703","24.0839192992911","26.2649170432272","26.4334381169183","25.7733220135837","25.6962808885544","25.6394661150448","24.9778709994681","24.501630325246","24.3704095682287","26.4937765098461","26.7688330332283","26.0318560632265","26.1430463540826","25.8966469592341","26.2707612619094","26.7563543294631","26.9385336668445","26.5436512369112","26.1172616602158","",
"Austria","AUT","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","25.915402431263","27.6120905924962","27.9038754307352","31.1084772401006","31.6191570203661","31.4136612506303","33.8517496022245","33.322423459081","33.4739417524882","34.5654438737343","34.9966352092361","35.4160012481996","35.7051300943499","35.5729953121721","36.2747019751862","36.855583666469","37.1699418693453","35.7534635722505","35.5912700666184","36.0426099357778","36.697148990262","38.7564718107163","38.6749163266011","48.7183958892184","48.7386551439875","47.5228026402187","47.2509965921999","47.1087352314622","46.2637884393769","46.6155776930225","45.9729061942825","46.0361198617491","48.6070087732423","45.9123747815754","45.188096157763","43.9779149065683","44.5742404112228","47.848356650487","46.4268063334548","45.5076838109706","46.1450516838","46.6216192018652","47.5011846905473","46.2775165820076","45.0496755231064","44.1817712365442","","",
"Azerbaijan","AZE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1976514544969","19.8269659761927","15.807941154944","16.221372257227","18.7678486310527","19.0095414691002","","","","","","","","","18.5077683545439","23.0788028594301","20.8724832214765","18.4783610460428","22.1853838889224","20.9255439826751","22.1009894245613","24.7886635000671","27.1959381185333","27.9587305829867","","",
"Burundi","BDI","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","13.6709389067377","","","","","","","","","","23.0257010448423","27.69193312738","28.2540590208745","25.1830169273105","23.6275593735149","22.7156974534398","","22.0782858570715","20.647628458498","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.5356120578215","45.895296543749","44.6869833535251","44.351953669401","43.6937595023846","42.6317320939057","43.1006651032459","41.3572405938902","42.4895857115322","40.8377880578681","43.5847458501808","40.5497437348436","40.2368437824578","42.0365033457657","44.3171585186485","43.5107001402489","44.7717597092091","45.882731313056","45.4673691712482","44.9292598844724","41.3655917642705","40.6958768935068","39.5736985591833","","",
